Item No.,Description,Sell,On Hand,Cost,List,OEM,Category,Extended Sell
1001167,X-PORTTACTICIANSURFACE MOUNT,276.94,0,157.54,276.94,WEST,WEST,X-PORTTACTICIANSURFACE MOUNT
1001175,X-PORTKAYAKERSURFACE/MT.BLK,230.41,0,131.07,230.41,WEST,WEST,X-PORTKAYAKERSURFACE/MT.BLK
1001183,X-PORTKAYAKERSURFACE/MT.WHT,230.41,0,131.07,230.41,WEST,WEST,X-PORTKAYAKERSURFACE/MT.WHT
1001256,STOPPER WITH INSIDE JAWS -6MM,13.86,0,7.47,13.86,WEST,WEST,STOPPER WITH INSIDE JAWS -6MM
1001264,STOPPER WITH INSIDE JAWS -8MM,21.73,0,11.71,21.73,WEST,WEST,STOPPER WITH INSIDE JAWS -8MM
1001299,CLASC BALLEND 3/16W 1/4-28T MS,76.07,0,38.72,76.07,WEST,WEST,CLASC BALLEND 3/16W 1/4-28T MS
1001302,511/911/2011 BASE BONE KIT,818.75,0,441.24,818.75,WEST,WEST,511/911/2011 BASE BONE KIT
1001396,GREAT LAKES & MARITIMES,309.46,0,247.57,309.46,WEST,WEST,GREAT LAKES & MARITIMES
1001442,INSULATOR STUD TO STUD 3/16,326.12,0,175.75,326.12,WEST,WEST,INSULATOR STUD TO STUD 3/16
100145,RIBBED TYPE OARLOCK HORN,139.60,0,75.23,139.60,WEST,WEST,RIBBED TYPE OARLOCK HORN
1001507,TRANSDUCER DIG D&HP TEMP 200W,1113.18,0,927.65,1113.18,WEST,WEST,TRANSDUCER DIG D&HP TEMP 200W
1001515,BLACK WEATHERFAX,2024.72,0,1687.27,2024.72,WEST,WEST,BLACK WEATHERFAX
1001523,XX0812 SIDEMOUNT BODY PORT,816.65,0,611.26,816.65,WEST,WEST,XX0812 SIDEMOUNT BODY PORT
100153,SIDE MOUNT ROWLOCK SOCKETS,104.91,0,56.54,104.91,WEST,WEST,SIDE MOUNT ROWLOCK SOCKETS
1001531,XX0812 SIDEMONT BODY STARBOARD,816.65,0,611.26,816.65,WEST,WEST,XX0812 SIDEMONT BODY STARBOARD
1001558,30M CABLE for FI 5001 SENSOR,201.66,0,168.05,201.66,WEST,WEST,30M CABLE for FI 5001 SENSOR
1001566,50M CABLE for FI 5001 SENSOR,283.94,0,236.62,283.94,WEST,WEST,50M CABLE for FI 5001 SENSOR
100161,GAS SPRING 20-12BALL MT,39.95,0,21.53,39.95,WEST,WEST,GAS SPRING 20-12BALL MT
1001663,LINE 7MM X 55 FURL DBL BRAID,191.85,0,143.60,191.85,WEST,WEST,LINE 7MM X 55 FURL DBL BRAID
1001671,UN.0 MKIV BOTTOM CONNECTOR,96.16,0,71.98,96.16,WEST,WEST,UN.0 MKIV BOTTOM CONNECTOR
1001698,UNIT 0 MKIV TRIM CAP SCREW,10.30,0,7.71,10.30,WEST,WEST,UNIT 0 MKIV TRIM CAP SCREW
1001736,PREMIUM HD EXHANDLE 3-6&BRUSH,97.80,0,52.70,97.80,WEST,WEST,PREMIUM HD EXHANDLE 3-6&BRUSH
1001744,SPONGE MICRO FIBER REGGAE BLUE,23.26,0,12.54,23.26,WEST,WEST,SPONGE MICRO FIBER REGGAE BLUE
1001779,FLEXIBLE HEAD SCRUBBER RED PAD,80.39,0,43.33,80.39,WEST,WEST,FLEXIBLE HEAD SCRUBBER RED PAD
1001787,ADAPTOR-SHURHOLD TO STARBRITE,21.49,0,11.58,21.49,WEST,WEST,ADAPTOR-SHURHOLD TO STARBRITE
1001876,MINI GATE HOOK 3/16W MS,100.83,0,51.32,100.83,WEST,WEST,MINI GATE HOOK 3/16W MS
