Item No.,Description,Sell,On Hand,Cost,List,OEM,Category,Extended Sell
ANC-131510,14/3 100'WHT TINBTCBL WT/GR/BK,217.55,0,117.24,217.55,WEST,WEST,14/3 100'WHT TINBTCBL WT/GR/BK
ANC-184003,14GA TIN.PRM.WIRE BLK 18',17.49,1,9.91,0.00,WEST,WEST,14GA TIN.PRM.WIRE BLK 18'
ANC-184303,14GA TIN.PRM.WIRE GRN 18',17.49,2,9.91,0.00,WEST,WEST,14GA TIN.PRM.WIRE GRN 18'
ANC-184403,14GA TIN.PRM.WIRE GRY 18',17.49,4,9.91,0.00,WEST,WEST,14GA TIN.PRM.WIRE GRY 18'
ANC-184503,ORG 14GA 18' TIN.PRIM.WIRE,17.99,2,9.91,0.00,WEST,WEST,ORG 14GA 18' TIN.PRIM.WIRE
ANC-184703,14GA TIN.PRM.WIRE PUR 18',17.49,1,9.91,0.00,WEST,WEST,14GA TIN.PRM.WIRE PUR 18'
ANC-184903,14GA TIN.PRM.WIRE WHT 18',17.49,3,9.91,0.00,WEST,WEST,14GA TIN.PRM.WIRE WHT 18'
ANC-199230,"(25) 14"""" 50LB MOUNT.NAT.TIE   """,11.79,1,7.05,0.00,WEST,WEST,"(25) 14"""" 50LB MOUNT.NAT.TIE   """
ANC-199257,"CABLE TIE MNT14""""BLK.UV50LB25PK""",12.21,0,6.58,12.21,WEST,WEST,"CABLE TIE MNT14""""BLK.UV50LB25PK"""
ANC-210215,"RING NYLON 16-14 5/16"""" 25PK   """,19.47,1,11.64,19.47,WEST,WEST,"RING NYLON 16-14 5/16"""" 25PK   """
ANC-210223,RING NYLON 12-10 #10 25PK,20.99,2,12.67,0.00,WEST,WEST,RING NYLON 12-10 #10 25PK
ANC-210226,"RING NYLON 12-10 3/8"""" 25PK    """,24.55,2,14.69,24.55,WEST,WEST,"RING NYLON 12-10 3/8"""" 25PK    """
ANC-210233,RING NYLON #8-#10 25PK,37.73,0,20.33,37.73,WEST,WEST,RING NYLON #8-#10 25PK
ANC-230215,"RING NYLON 16-14 5/16"""" 5PK    """,5.08,3,3.03,5.08,WEST,WEST,"RING NYLON 16-14 5/16"""" 5PK    """
ANC-230216,"RING NYLON 16-14 3/8"""" 5PK     """,5.08,2,3.03,5.08,WEST,WEST,"RING NYLON 16-14 3/8"""" 5PK     """
ANC-230226,"RING NYLON 12-10 3/8"""" 4PK     """,5.56,0,3.35,5.56,WEST,WEST,"RING NYLON 12-10 3/8"""" 4PK     """
ANC-230828,(4) 12-10 FEMALE DISCONNEC,5.38,5,3.22,5.38,WEST,WEST,(4) 12-10 FEMALE DISCONNEC
ANC-242275,"TINNED LUG 1GA 5/16"""" 25PK     """,88.66,0,47.78,88.66,WEST,WEST,"TINNED LUG 1GA 5/16"""" 25PK     """
ANC-252130,TIN.BUTT CONNECTOR 8GA 2PK,5.69,3,3.42,5.69,WEST,WEST,TIN.BUTT CONNECTOR 8GA 2PK
ANC-252140,TIN.BUTT CONNECTOR 2PK,6.78,2,4.07,6.78,WEST,WEST,TIN.BUTT CONNECTOR 2PK
ANC-252160,TIN.BUTT CONNECTOR 2GA 2PK,11.31,1,6.41,11.31,WEST,WEST,TIN.BUTT CONNECTOR 2GA 2PK
ANC-252180,TIN.BUTT CONNECTOR 1/0 2PK,14.81,1,8.40,14.81,WEST,WEST,TIN.BUTT CONNECTOR 1/0 2PK
ANC-252190,TIN.BUTT CONNECTOR 2/ 2PK,15.88,1,9.01,15.88,WEST,WEST,TIN.BUTT CONNECTOR 2/ 2PK
ANC-252235,"(2) 8GA 5/16"""" TINNED LUG      """,4.49,2,2.72,0.00,WEST,WEST,"(2) 8GA 5/16"""" TINNED LUG      """
ANC-252275,"TINNED LUG 1GA 5/16"""" 2PK      """,9.07,0,4.89,9.07,WEST,WEST,"TINNED LUG 1GA 5/16"""" 2PK      """
ANC-262295,"(2)2/0 5/16"""" 90* TINNED LUG   """,16.65,1,8.97,16.65,WEST,WEST,"(2)2/0 5/16"""" 90* TINNED LUG   """
ANC-262726,"(2)4/0 3/8"""" 90* TINNED LUG    """,24.90,0,13.42,24.90,WEST,WEST,"(2)4/0 3/8"""" 90* TINNED LUG    """
ANC-304603,"RED HEAT SHRNK RED 3/8""""X3"""" 3PK""",7.13,1,4.52,7.13,WEST,WEST,"RED HEAT SHRNK RED 3/8""""X3"""" 3PK"""
ANC-309099,HEAT SHRINK BUTT 22-18 100PCS.,79.71,0,43.91,79.71,WEST,WEST,HEAT SHRINK BUTT 22-18 100PCS.
ANC-309225,HEAT SHRINK BUTT 12-10 25PK,53.82,1,29.65,53.82,WEST,WEST,HEAT SHRINK BUTT 12-10 25PK
ANC-311203,HEAT SK.RING 16-14 #8 3PAK,6.43,2,3.46,6.43,WEST,WEST,HEAT SK.RING 16-14 #8 3PAK
ANC-311525,"HEAT SK.RING 16-14 5/16""""25PAK """,38.24,2,21.05,38.24,WEST,WEST,"HEAT SK.RING 16-14 5/16""""25PAK """
ANC-311603,"HEAT SK.RING 16-14 3/8""""3PAK   """,5.99,3,3.54,0.00,WEST,WEST,"HEAT SK.RING 16-14 3/8""""3PAK   """
ANC-312203,HEAT SK.RING 12-10 #8 3PAK,8.10,2,4.46,8.10,WEST,WEST,HEAT SK.RING 12-10 #8 3PAK
ANC-312525,"HEAT SK.RING 12-10 5/16""""25PAK """,47.99,2,29.05,0.00,WEST,WEST,"HEAT SK.RING 12-10 5/16""""25PAK """
ANC-312625,"HEAT SK.RING 12-10 3/8""""25PAK  """,47.99,2,29.05,0.00,WEST,WEST,"HEAT SK.RING 12-10 3/8""""25PAK  """
ANC-321325,HEAT SK.RING 8AWG #10 25PAK,57.95,0,31.23,57.95,WEST,WEST,HEAT SK.RING 8AWG #10 25PAK
ANC-321503,"HEAT SK.RING 8AWG 5/16""""3PAK   """,8.93,0,4.81,8.93,WEST,WEST,"HEAT SK.RING 8AWG 5/16""""3PAK   """
ANC-401255,"CLAMP NATURAL 1/4""""100PAK",18.04,0,11.81,18.04,WEST,WEST,"CLAMP NATURAL 1/4""""100PAK"
ANC-401312,"CLAMP NATURAL 5/16""""25PAK",6.38,0,3.44,6.38,WEST,WEST,"CLAMP NATURAL 5/16""""25PAK"
ANC-401375,"CLAMP NATURAL 3/8""""100PAK",21.99,1,12.89,0.00,WEST,WEST,"CLAMP NATURAL 3/8""""100PAK"
ANC-402252,"CLAMP BLACK1/4""""25PAK",7.25,0,4.75,7.25,WEST,WEST,"CLAMP BLACK1/4""""25PAK"
ANC-403182,"CUSH. CLAMP SS 3/16"""" 10 PAK   """,19.99,2,11.65,0.00,WEST,WEST,"CUSH. CLAMP SS 3/16"""" 10 PAK   """
ANC-403902,"CUSH. CLAMP SS 1-1/4"""" 10 PAK  """,31.36,1,16.90,31.36,WEST,WEST,"CUSH. CLAMP SS 1-1/4"""" 10 PAK  """
ANC-404152,"CUSH. CLAMP SS 1-1/2"""" 10 PAK  """,37.49,0,20.92,37.49,WEST,WEST,"CUSH. CLAMP SS 1-1/2"""" 10 PAK  """
ANC-404172,"CUSH. CLAMP SS 1-3/4"""" 10 PAK  """,35.54,0,19.15,35.54,WEST,WEST,"CUSH. CLAMP SS 1-3/4"""" 10 PAK  """
ANC-404202,"CUSH. CLAMP SS 2"""" 10 PAK      """,40.49,1,24.01,0.00,WEST,WEST,"CUSH. CLAMP SS 2"""" 10 PAK      """
ANC-404252,"CUSH. CLAMP SS 2-1/2"""" 10 PAK  """,43.82,0,23.62,43.82,WEST,WEST,"CUSH. CLAMP SS 2-1/2"""" 10 PAK  """
ANC-404302,"CUSH. CLAMP SS 3""""     10/PK",51.49,1,30.12,0.00,WEST,WEST,"CUSH. CLAMP SS 3""""     10/PK"
ANC-529102,(2) 12V .80 AMP 8-CP BULB,5.59,2,3.01,5.59,WEST,WEST,(2) 12V .80 AMP 8-CP BULB
ANC-529340,(1) 12V 25W NAVIGATION BULB,27.76,0,14.96,27.76,WEST,WEST,(1) 12V 25W NAVIGATION BULB
ANC-700115,DIELECTRIC SIL.COMPOUND 1/3OZ.,13.26,2,8.17,13.26,WEST,WEST,DIELECTRIC SIL.COMPOUND 1/3OZ.
ANC-750000,GROMMET KIT ASSORTED 45PCS.,27.91,0,15.04,27.91,WEST,WEST,GROMMET KIT ASSORTED 45PCS.
AQL20210,AQUALARM ENG TEMP MNITR W/BLT-ON DETECT,128.09,1,69.03,128.09,WEST,WEST,AQUALARM ENG TEMP MNITR W/BLT-ON DETECT
AQL20352,AQUALARM COOL WTRFLO ALARM PNL 12V SNGL,75.47,0,40.67,0.00,WEST,WEST,AQUALARM COOL WTRFLO ALARM PNL 12V SNGL
AQS-40100-7,BI-COLOUR LIGHT 25W BLK,205.88,1,117.12,205.88,WEST,WEST,BI-COLOUR LIGHT 25W BLK
AQU-51000,FLUSH N FLOW 1L,40.45,0,25.60,40.45,WEST,WEST,FLUSH N FLOW 1L
AQU-51150,DINGHY/FENDER CLEANER 750ML,20.15,1,13.94,20.15,WEST,WEST,DINGHY/FENDER CLEANER 750ML
AQU-52010,DECK & BOAT WASH 1L,20.15,0,12.75,20.15,WEST,WEST,DECK & BOAT WASH 1L
AQU-52011,DECK & BOAT WASH 4L,70.03,0,44.32,70.03,WEST,WEST,DECK & BOAT WASH 4L
AQU-52012,DECK & BOAT WASH 20L,275.79,0,174.55,275.79,WEST,WEST,DECK & BOAT WASH 20L
AQU-52019,EASY CLEAN MARINE 120ML,4.96,0,3.14,4.96,WEST,WEST,EASY CLEAN MARINE 120ML
