MARISOL MARINE & YACHT,,,,,,,,,,,,,,,,,
,,,,,,Inventory Price List,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
OEM,,Category,Item No.,,Description,,,Bin Location,,,Min/Max,On Hand,List,Cost,Sell ,Extended Sell,
,,,,,,,,,,,,,,,,,
WEST,,WEST,AAL-20063,,"SAVE YOUR ENG KIT 2""""          """,,,,,,0 / 0,0.00,225.28 ,121.41 ,225.28 ,0.00 ,
WEST,,WEST,AAL-20064,,"SAVE YOUR ENG KIT 1/2""""/1-1/2"""" """,,,,,,0 / 0,0.00,216.93 ,116.91 ,216.93 ,0.00 ,
WEST,,WEST,AAL-20068,,"SAVE YOUR GENERATR KIT 1""""FPT  """,,,,,,0 / 0,0.00,216.93 ,116.91 ,216.93 ,0.00 ,
WEST,,WEST,AAL-20072,,FIRE SPRVISR MNITR PANEL,,,,,,0 / 0,0.00,370.46 ,199.65 ,370.46 ,0.00 ,
WEST,,WEST,AAL-20090,,PUMP SWITCH HD 12V 30A,,,,,,0 / 0,0.00,98.45 ,53.05 ,98.45 ,0.00 ,
WEST,,WEST,AAL-20100,,RED WARN BELL-12V,,,,,,0 / 0,0.00,125.15 ,67.45 ,125.15 ,0.00 ,
WEST,,WEST,AAL-20101,,RED WARN BELL-24V,,,,,,0 / 0,0.00,133.50 ,71.95 ,133.50 ,0.00 ,
WEST,,WEST,AAL-20102,,RED WARN BELL-32V,,,,,,0 / 0,0.00,133.50 ,71.95 ,133.50 ,0.00 ,
WEST,,WEST,AAL-20106,,ALARM BUZZER 85DB 12-32V,,,,,,0 / 0,0.00,48.40 ,26.08 ,48.40 ,0.00 ,
WEST,,WEST,AAL-20107,,IND/OUTD ALARM SIREN 12V,,,,,,0 / 0,0.00,93.45 ,50.36 ,93.45 ,0.00 ,
WEST,,WEST,AAL-20111,,LO OIL PRESS DETECTOR 12V,,,,,,0 / 0,0.00,50.07 ,26.98 ,50.07 ,0.00 ,
WEST,,WEST,AAL-20112,,RMT FIRE DETECT 12V NEW,,,,,,0 / 0,0.00,110.14 ,59.35 ,110.14 ,0.00 ,
WEST,,WEST,AAL-20116,,OVRHT DETECT200F12-32V BOLT-ON,,,,,,0 / 0,0.00,56.75 ,30.58 ,56.75 ,0.00 ,
WEST,,WEST,AAL-20118,,"OVRHT DETECT200F12-32V 1/2""""MPT""",,,,,,0 / 0,0.00,66.68 ,35.94 ,66.68 ,0.00 ,
WEST,,WEST,AAL-20120,,BILGE LEVEL DETECT 12/32V,,,,,,0 / 0,0.00,78.44 ,42.27 ,78.44 ,0.00 ,
WEST,,WEST,AAL-20131,,BILGE WARN SYS 12V W/BELL,,,,,,0 / 0,0.00,186.91 ,100.73 ,186.91 ,0.00 ,
WEST,,WEST,AAL-20133,,BILGE WARN SYS 32V W/BELL,,,,,,0 / 0,0.00,191.90 ,103.42 ,191.90 ,0.00 ,
WEST,,WEST,AAL-20140,,WTRPRF BACK BOX-RBA BELL,,,,,,0 / 0,0.00,51.74 ,27.88 ,51.74 ,0.00 ,
WEST,,WEST,AAL-20143,,TIMER CIRCUIT-BILGE ALARM,,,,,,0 / 0,0.00,50.07 ,26.98 ,50.07 ,0.00 ,
WEST,,WEST,AAL-20210,,ENG TEMP MNITR W/BLT-ON DETECT,,,,,,0 / 0,0.00,121.81 ,65.65 ,121.81 ,0.00 ,
WEST,,WEST,AAL-20219,,ENG TEMP MNTR DUAL 12V2XBLT-ON,,,,,,0 / 0,0.00,155.19 ,83.64 ,155.19 ,0.00 ,
WEST,,WEST,AAL-20220,,"LO OILPRES MNTR BLK1/8""""NPT DET""",,,,,,0 / 0,0.00,121.81 ,65.65 ,121.81 ,0.00 ,
WEST,,WEST,AAL-20227,,FIRE WARN PNL 12V BLK,,,,,,0 / 0,0.00,75.10 ,40.47 ,75.10 ,0.00 ,
WEST,,WEST,AAL-20230,,FIRE WARN W/135F DETECT12V BLK,,,,,,0 / 0,0.00,165.21 ,89.04 ,165.21 ,0.00 ,
WEST,,WEST,AAL-20234,,FIRE WARN W/194F DETECT12V BLK,,,,,,0 / 0,0.00,165.21 ,89.04 ,165.21 ,0.00 ,
WEST,,WEST,AAL-20240,,HI WTR WRN PLNL&FLT SWCH12V BK,,,,,,0 / 0,0.00,148.51 ,80.04 ,148.51 ,0.00 ,
WEST,,WEST,AAL-20243,,EXHST OVRHT ALRM KIT 24V W/20',,,,,,0 / 0,0.00,130.16 ,70.15 ,130.16 ,0.00 ,
WEST,,WEST,AAL-20245,,EXHST OVRHT ALRM KIT 12V,,,,,,0 / 0,0.00,133.42 ,71.90 ,133.42 ,0.00 ,
WEST,,WEST,AAL-20248,,EXHST OVRHT ALRM KIT DUAL 12V,,,,,,0 / 0,0.00,208.60 ,112.42 ,208.60 ,0.00 ,
WEST,,WEST,AAL-20250,,EXHST OVRHT DETECT 200F 12-32V,,,,,,0 / 0,0.00,91.70 ,49.42 ,91.70 ,0.00 ,
WEST,,WEST,AAL-20252,,EXHST OVRHT WARN PNL WHT,,,,,,0 / 0,0.00,58.42 ,31.48 ,58.42 ,0.00 ,
WEST,,WEST,AAL-20254,,BLG HI WTR PANEL 12V BLK,,,,,,0 / 0,0.00,56.75 ,30.58 ,56.75 ,0.00 ,
WEST,,WEST,AAL-20260,,ASM VISUAL IND PNL SNGL ENG,,,,,,0 / 0,0.00,141.85 ,76.45 ,141.85 ,0.00 ,
WEST,,WEST,AAL-20260-24V,,24V PANEL W/MUTE,,,,,,0 / 0,0.00,131.31 ,74.70 ,131.31 ,0.00 ,
WEST,,WEST,AAL-20262,,ASM VISUAL IND PNL DUAL ENG,,,,,,0 / 0,0.00,208.60 ,112.42 ,208.60 ,0.00 ,
